Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
1/4 de finale;Coupe de France;Exterieur;Victoire;Saint-Amand;;Starter;A. Peterson;33;3;0,05;33,05;3;10;0,3;1;4;0,25;2;6;0,333333333;5;6;0,833333333;;;;;;;;13;0;3;3;6;1;1;0;1;3;6;4;14;1;A. Peterson
1/4 de finale;Coupe de France;Exterieur;Victoire;Saint-Amand;Capitaine;Starter;M. Djaldi-Tabdi;19;52;0,87;19,87;2;3;0,666666667;2;2;1;0;1;0;3;4;0,75;;;;;;;;7;2;3;5;1;2;0;0;0;4;2;9;9;14;M. Djaldi-Tabdi(C)
1/4 de finale;Coupe de France;Exterieur;Victoire;Saint-Amand;;Starter;L. Geiselsoder;20;38;0,63;20,63;3;3;1;3;3;1;0;0;;0;0;;;;;;;;;6;0;4;4;0;4;1;3;0;3;1;2;10;15;L. Geiselsoder
1/4 de finale;Coupe de France;Exterieur;Victoire;Saint-Amand;;Starter;Y. Ewodo;15;4;0,07;15,07;1;6;0,166666667;1;4;0,25;0;2;0;0;0;;;;;;;;;2;1;0;1;4;2;0;0;0;2;0;3;0;16;Y. Ewodo
1/4 de finale;Coupe de France;Exterieur;Victoire;Saint-Amand;;Starter;K. Chery;26;15;0,25;26,25;4;7;0,571428571;2;3;0,666666667;2;4;0,5;2;3;0,666666667;;;;;;;;12;1;2;3;2;3;2;1;0;2;3;4;13;97;K. Chery
1/4 de finale;Coupe de France;Exterieur;Victoire;Saint-Amand;;Banc;M. Pardon;15;31;0,52;15,52;1;5;0,2;1;4;0,25;0;1;0;0;0;;;;;;;;;2;0;0;0;5;3;4;0;0;2;0;3;4;5;M. Pardon
1/4 de finale;Coupe de France;Exterieur;Victoire;Saint-Amand;;Banc;A. Salvadores;24;49;0,82;24,82;4;13;0,307692308;3;7;0,428571429;1;6;0,166666667;4;5;0,8;;;;;;;;13;2;3;5;3;1;2;1;0;0;4;-6;13;8;A. Salvadores
1/4 de finale;Coupe de France;Exterieur;Victoire;Saint-Amand;;Banc;S. Macquet;9;0;0;9;1;2;0,5;1;2;0,5;0;0;;0;0;;;;;;;;;2;0;1;1;1;0;0;2;0;1;0;-6;5;13;S. Macquet
1/4 de finale;Coupe de France;Exterieur;Victoire;Saint-Amand;;Banc;C. Burdick;30;29;0,48;30,48;2;4;0,5;2;4;0,5;0;0;;2;4;0,5;;;;;;;;6;1;7;8;2;1;0;2;0;2;3;-1;13;22;C. Burdick
1/4 de finale;Coupe de France;Exterieur;Victoire;Saint-Amand;;Banc;L. Bussiere;5;19;0,32;5,32;1;3;0,333333333;1;2;0,5;0;1;0;0;0;;;;;;;;;2;0;0;0;0;0;0;0;0;2;0;-2;0;28;L. Bussiere
