Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
1/8 de finale;Coupe de France;Exterieur;Victoire;Charnay;;Starter;K. Nanacickaite Vd Horst;21;2;0,03;21,03;2;5;0,4;1;1;1;1;4;0,25;0;0;;;;;;;;;5;0;4;4;2;2;0;0;0;4;0;7;6;6;K. Nanacickaite Vd Horst
1/8 de finale;Coupe de France;Exterieur;Victoire;Charnay;;Starter;P. Astier;27;46;0,77;27,77;4;8;0,5;3;7;0,428571429;1;1;1;4;4;1;;;;;;;;13;1;1;2;3;2;2;1;1;2;3;13;15;18;P. Astier
1/8 de finale;Coupe de France;Exterieur;Victoire;Charnay;Capitaine;Starter;A. Spanou;23;13;0,22;23,22;3;5;0,6;3;5;0,6;0;0;;2;2;1;;;;;;;;8;0;0;0;0;1;1;0;0;4;1;11;6;25;A. Spanou(C)
1/8 de finale;Coupe de France;Exterieur;Victoire;Charnay;;Starter;A. Duchet;27;26;0,43;27,43;4;8;0,5;1;1;1;3;7;0,428571429;4;4;1;;;;;;;;15;0;1;1;3;1;0;0;0;1;4;12;14;39;A. Duchet
1/8 de finale;Coupe de France;Exterieur;Victoire;Charnay;;Starter;K. Alexander;23;42;0,7;23,7;8;13;0,615384615;8;13;0,615384615;0;0;;2;4;0,5;;;;;;;;18;2;5;7;0;1;0;1;1;2;3;17;18;40;K. Alexander
1/8 de finale;Coupe de France;Exterieur;Victoire;Charnay;;Banc;A. Steinberga;28;13;0,22;28,22;3;7;0,428571429;2;5;0,4;1;2;0,5;6;7;0,857142857;;;;;;;;13;0;9;9;3;2;1;0;0;3;7;5;19;2;A. Steinberga
1/8 de finale;Coupe de France;Exterieur;Victoire;Charnay;;Banc;C. Collin;1;3;0,05;1,05;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;20;C. Collin
1/8 de finale;Coupe de France;Exterieur;Victoire;Charnay;;Banc;T. Pouye;29;21;0,35;29,35;5;8;0,625;4;6;0,666666667;1;2;0,5;3;4;0,75;;;;;;;;14;2;6;8;4;0;0;0;0;2;3;0;22;32;T. Pouye
1/8 de finale;Coupe de France;Exterieur;Victoire;Charnay;;Banc;K. Mann;18;15;0,25;18,25;0;3;0;0;3;0;0;0;;0;0;;;;;;;;;0;0;1;1;0;1;0;0;1;1;0;0;-3;44;K. Mann
1/8 de finale;Coupe de France;Exterieur;Victoire;Charnay;;Banc;TOTAUX EQUIPE;;;;;29;57;0,50877193;22;41;0,536585366;7;16;0,4375;21;25;0,84;11;38;9;14;27;22;9;86;6;29;35;15;11;4;2;3;19;21;0;99;;TOTAUX EQUIPE
1/4 de finale;Coupe de France;Domicile;Victoire;Villeneuve d'Ascq;;Starter;A. Steinberga;21;12;0,2;21,2;4;7;0,571428571;4;6;0,666666667;0;1;0;3;4;0,75;;;;;;;;11;2;4;6;0;1;1;0;0;3;5;9;13;2;A. Steinberga
1/4 de finale;Coupe de France;Domicile;Victoire;Villeneuve d'Ascq;Capitaine;Starter;S. Michel;25;25;0,42;25,42;5;13;0,384615385;3;8;0,375;2;5;0,4;0;2;0;;;;;;;;12;0;6;6;1;3;2;0;1;4;1;10;8;17;S. Michel(C)
1/4 de finale;Coupe de France;Domicile;Victoire;Villeneuve d'Ascq;;Starter;A. Spanou;33;18;0,3;33,3;3;7;0,428571429;3;5;0,6;0;2;0;5;8;0,625;;;;;;;;11;2;7;9;2;1;2;0;1;5;5;11;16;25;A. Spanou
1/4 de finale;Coupe de France;Domicile;Victoire;Villeneuve d'Ascq;;Starter;A. Duchet;26;36;0,6;26,6;4;6;0,666666667;4;4;1;0;2;0;1;1;1;;;;;;;;9;0;1;1;1;1;0;0;0;0;1;8;8;39;A. Duchet
1/4 de finale;Coupe de France;Domicile;Victoire;Villeneuve d'Ascq;;Starter;K. Mann;32;18;0,3;32,3;2;3;0,666666667;1;2;0,5;1;1;1;6;6;1;;;;;;;;11;2;2;4;1;1;1;0;0;3;3;13;15;44;K. Mann
1/4 de finale;Coupe de France;Domicile;Victoire;Villeneuve d'Ascq;;Banc;M. Poilvé;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;M. Poilvé
1/4 de finale;Coupe de France;Domicile;Victoire;Villeneuve d'Ascq;;Banc;K. Nacickaite;17;20;0,33;17,33;1;7;0,142857143;1;2;0,5;0;5;0;0;0;;;;;;;;;2;0;1;1;1;2;0;0;1;2;0;4;-4;6;K. Nacickaite
1/4 de finale;Coupe de France;Domicile;Victoire;Villeneuve d'Ascq;;Banc;P. Astier;25;3;0,05;25,05;2;5;0,4;2;5;0,4;0;0;;4;4;1;;;;;;;;8;0;1;1;9;5;0;0;0;3;3;22;10;18;P. Astier
1/4 de finale;Coupe de France;Domicile;Victoire;Villeneuve d'Ascq;;Banc;C. Collin;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;20;C. Collin
1/4 de finale;Coupe de France;Domicile;Victoire;Villeneuve d'Ascq;;Banc;K. Alexander;18;48;0,8;18,8;4;5;0,8;4;5;0,8;0;0;;2;4;0,5;;;;;;;;10;2;2;4;0;3;1;0;0;2;4;8;9;40;K. Alexander
1/4 de finale;Coupe de France;Domicile;Victoire;Villeneuve d'Ascq;;Banc;TOTAUX EQUIPE;;;;;25;53;0,471698113;22;37;0,594594595;3;16;0,1875;21;29;0,724137931;17;34;15;15;20;18;11;74;9;25;34;15;18;7;0;3;22;22;0;76;;TOTAUX EQUIPE
Demi-finale;Coupe de France;Domicile;Victoire;Lyon Asvel Féminin;;Starter;K. Nacickaite;19;16;0,27;19,27;5;8;0,625;0;0;;5;8;0,625;3;3;1;;;;;;;;18;0;1;1;0;2;2;0;0;2;1;11;16;6;K. Nacickaite
Demi-finale;Coupe de France;Domicile;Victoire;Lyon Asvel Féminin;Capitaine;Starter;S. Michel;16;43;0,72;16,72;2;6;0,333333333;2;4;0,5;0;2;0;0;0;;;;;;;;;4;0;3;3;5;0;3;0;0;2;0;26;11;17;S. Michel(C)
Demi-finale;Coupe de France;Domicile;Victoire;Lyon Asvel Féminin;;Starter;A. Spanou;19;53;0,88;19,88;3;7;0,428571429;3;6;0,5;0;1;0;0;0;;;;;;;;;6;1;3;4;3;2;1;0;1;3;1;12;8;25;A. Spanou
Demi-finale;Coupe de France;Domicile;Victoire;Lyon Asvel Féminin;;Starter;A. Duchet;19;37;0,62;19,62;3;10;0,3;2;7;0,285714286;1;3;0,333333333;0;0;;;;;;;;;7;1;2;3;2;1;0;0;0;0;0;10;4;39;A. Duchet
Demi-finale;Coupe de France;Domicile;Victoire;Lyon Asvel Féminin;;Starter;K. Alexander;19;13;0,22;19,22;5;11;0,454545455;5;11;0,454545455;0;0;;3;3;1;;;;;;;;13;7;3;10;0;0;0;0;0;2;3;24;17;40;K. Alexander
Demi-finale;Coupe de France;Domicile;Victoire;Lyon Asvel Féminin;;Banc;A. Steinberga;26;1;0,02;26,02;4;5;0,8;3;3;1;1;2;0,5;2;3;0,666666667;;;;;;;;11;1;4;5;2;2;1;0;0;2;4;16;15;2;A. Steinberga
Demi-finale;Coupe de France;Domicile;Victoire;Lyon Asvel Féminin;;Banc;S. Colley;17;60;1;18;2;6;0,333333333;1;2;0,5;1;4;0,25;1;1;1;;;;;;;;6;0;2;2;3;1;1;0;1;0;1;9;7;7;S. Colley
