Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
1/16 de finale;Coupe de France;Exterieur;Victoire;Strasbourg Illkirch-Graffenstaden;;Starter;K. Coulibaly;19;56;0,93;19,93;2;5;0,4;2;4;0,5;0;1;0;3;4;0,75;;;;;;;;7;1;5;6;0;1;0;0;0;4;5;13;8;1;K. Coulibaly
1/16 de finale;Coupe de France;Exterieur;Victoire;Strasbourg Illkirch-Graffenstaden;;Starter;M. Akoa Makani;29;46;0,77;29,77;7;12;0,583333333;5;8;0,625;2;4;0,5;0;1;0;;;;;;;;16;0;4;4;6;5;1;0;0;1;2;14;16;8;M. Akoa Makani
1/16 de finale;Coupe de France;Exterieur;Victoire;Strasbourg Illkirch-Graffenstaden;;Starter;J. Muzet;24;42;0,7;24,7;3;7;0,428571429;3;6;0,5;0;1;0;2;2;1;;;;;;;;8;0;2;2;4;5;0;0;0;5;2;-4;5;21;J. Muzet
1/16 de finale;Coupe de France;Exterieur;Victoire;Strasbourg Illkirch-Graffenstaden;Capitaine;Starter;C. Chabrier;31;17;0,28;31,28;1;3;0,333333333;0;2;0;1;1;1;2;2;1;;;;;;;;5;0;0;0;3;2;2;0;0;1;4;5;6;25;C. Chabrier(C)
1/16 de finale;Coupe de France;Exterieur;Victoire;Strasbourg Illkirch-Graffenstaden;;Starter;M. Djaldi-Tabdi;27;34;0,57;27,57;6;10;0,6;4;6;0,666666667;2;4;0,5;1;3;0,333333333;;;;;;;;15;0;4;4;0;3;0;0;1;4;4;17;10;33;M. Djaldi-Tabdi
1/16 de finale;Coupe de France;Exterieur;Victoire;Strasbourg Illkirch-Graffenstaden;;Banc;N. Desset;14;40;0,67;14,67;1;3;0,333333333;1;2;0,5;0;1;0;0;0;;;;;;;;;2;0;2;2;1;2;1;0;0;3;3;7;2;9;N. Desset
1/16 de finale;Coupe de France;Exterieur;Victoire;Strasbourg Illkirch-Graffenstaden;;Banc;S. Diarra;7;31;0,52;7,52;0;0;;0;0;;0;0;;1;2;0,5;;;;;;;;1;1;1;2;1;1;0;0;0;1;1;-11;2;17;S. Diarra
1/16 de finale;Coupe de France;Exterieur;Victoire;Strasbourg Illkirch-Graffenstaden;;Banc;N. Guillaume;19;35;0,58;19,58;2;4;0,5;2;3;0,666666667;0;1;0;0;0;;;;;;;;;4;1;0;1;2;0;2;0;0;0;0;2;7;20;N. Guillaume
1/16 de finale;Coupe de France;Exterieur;Victoire;Strasbourg Illkirch-Graffenstaden;;Banc;D. Balayera;24;59;0,98;24,98;2;8;0,25;1;5;0,2;1;3;0,333333333;4;4;1;;;;;;;;9;1;9;10;4;2;0;2;0;3;2;-3;17;77;D. Balayera
1/16 de finale;Coupe de France;Exterieur;Victoire;Strasbourg Illkirch-Graffenstaden;;Banc;TOTAUX EQUIPE;;;;;24;52;0,461538462;18;36;0,5;6;16;0,375;13;18;0,722222222;17;20;5;16;16;11;8;67;6;28;34;21;21;6;2;1;22;23;0;76;;TOTAUX EQUIPE
1/8 de finale;Coupe de France;Domicile;Defaite;Bourges;;Starter;K. Traylor;34;31;0,52;34,52;3;13;0,230769231;0;4;0;3;9;0,333333333;0;0;;;;;;;;;9;1;3;4;4;0;0;0;1;2;0;-24;7;4;K. Traylor
1/8 de finale;Coupe de France;Domicile;Defaite;Bourges;;Starter;M. Akoa Makani;28;1;0,02;28,02;7;14;0,5;5;11;0,454545455;2;3;0,666666667;4;4;1;;;;;;;;20;1;2;3;4;4;0;0;0;2;4;0;16;8;M. Akoa Makani
1/8 de finale;Coupe de France;Domicile;Defaite;Bourges;;Starter;S. Thomas;27;36;0,6;27,6;10;18;0,555555556;10;18;0,555555556;0;0;;1;3;0,333333333;;;;;;;;21;3;4;7;2;1;0;1;0;1;6;-15;20;20;S. Thomas
1/8 de finale;Coupe de France;Domicile;Defaite;Bourges;Capitaine;Starter;C. Chabrier;27;11;0,18;27,18;1;3;0,333333333;1;2;0,5;0;1;0;2;2;1;;;;;;;;4;0;3;3;6;1;2;0;0;3;4;0;12;25;C. Chabrier(C)
1/8 de finale;Coupe de France;Domicile;Defaite;Bourges;;Starter;M. Djaldi-Tabdi;20;53;0,88;20,88;0;4;0;0;2;0;0;2;0;0;0;;;;;;;;;0;0;3;3;0;1;0;0;1;5;0;-4;-2;33;M. Djaldi-Tabdi
1/8 de finale;Coupe de France;Domicile;Defaite;Bourges;;Banc;K. Coulibaly;20;17;0,28;20,28;1;3;0,333333333;0;1;0;1;2;0,5;3;4;0,75;;;;;;;;6;1;2;3;0;2;0;0;0;1;2;-1;4;1;K. Coulibaly
1/8 de finale;Coupe de France;Domicile;Defaite;Bourges;;Banc;N. Guillaume;1;27;0,45;1,45;0;1;0;0;1;0;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;1;0;-3;-1;7;N. Guillaume
1/8 de finale;Coupe de France;Domicile;Defaite;Bourges;;Banc;N. Desset;9;28;0,47;9,47;2;2;1;1;1;1;1;1;1;0;0;;;;;;;;;5;0;0;0;1;1;1;0;0;4;0;3;6;9;N. Desset
1/8 de finale;Coupe de France;Domicile;Defaite;Bourges;;Banc;S. Diarra;2;30;0,5;2,5;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;1;0;-5;0;17;S. Diarra
1/8 de finale;Coupe de France;Domicile;Defaite;Bourges;;Banc;K. Vilka;9;21;0,35;9,35;1;1;1;0;0;;1;1;1;0;2;0;;;;;;;;3;0;1;1;0;0;0;0;0;0;2;-5;2;35;K. Vilka
1/8 de finale;Coupe de France;Domicile;Defaite;Bourges;;Banc;D. Balayera;18;45;0,75;18,75;2;3;0,666666667;1;2;0,5;1;1;1;0;0;;;;;;;;;5;2;2;4;0;0;1;2;0;1;1;-11;11;77;D. Balayera
1/8 de finale;Coupe de France;Domicile;Defaite;Bourges;;Banc;TOTAUX EQUIPE;;;;;27;62;0,435483871;18;42;0,428571429;9;20;0,45;10;15;0,666666667;13;30;10;11;19;;8;73;8;22;30;17;12;4;3;2;21;19;0;75;;TOTAUX EQUIPE
1;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Starter;K. Coulibaly;23;3;0,05;23,05;3;8;0,375;3;7;0,428571429;0;1;0;2;5;0,4;;;;;;;;8;4;2;6;2;0;0;0;0;1;6;-1;8;1;K. Coulibaly
1;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Starter;K. Traylor;30;14;0,23;30,23;7;15;0,466666667;5;7;0,714285714;2;8;0,25;5;6;0,833333333;;;;;;;;21;0;2;2;4;2;3;0;0;1;6;-8;19;4;K. Traylor
1;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Starter;S. Thomas;20;3;0,05;20,05;4;10;0,4;4;10;0,4;0;0;;1;2;0,5;;;;;;;;9;2;3;5;0;2;1;0;0;5;2;-18;6;20;S. Thomas
1;Championat de France;Exterieur;Defaite;Charleville-Mézières;Capitaine;Starter;C. Chabrier;19;58;0,97;19,97;1;4;0,25;0;1;0;1;3;0,333333333;1;2;0,5;;;;;;;;4;0;0;0;2;3;0;0;1;2;2;-12;-1;25;C. Chabrier(C)
1;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Starter;K. Vilka;24;43;0,72;24,72;4;9;0,444444444;0;2;0;4;7;0,571428571;0;0;;;;;;;;;12;0;1;1;0;0;0;0;0;4;0;-4;8;35;K. Vilka
1;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Banc;M. Akoa Makani;23;29;0,48;23,48;2;8;0,25;2;6;0,333333333;0;2;0;2;2;1;;;;;;;;6;0;1;1;3;4;6;0;0;1;2;-12;6;8;M. Akoa Makani
1;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Banc;J. Muzet;21;36;0,6;21,6;2;4;0,5;1;2;0,5;1;2;0,5;0;0;;;;;;;;;5;1;3;4;1;1;2;1;0;1;0;-15;10;21;J. Muzet
1;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Banc;M. Djaldi Tabdi;20;50;0,83;20,83;1;6;0,166666667;1;3;0,333333333;0;3;0;1;2;0,5;;;;;;;;3;0;5;5;1;2;1;0;1;4;1;-13;2;33;M. Djaldi Tabdi
1;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Banc;D. Balayera;16;4;0,07;16,07;3;5;0,6;3;4;0,75;0;1;0;1;2;0,5;;;;;;;;7;1;2;3;2;0;0;0;0;1;1;-2;9;77;D. Balayera
1;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Banc;TOTAUX EQUIPE;;;;;27;69;0,391304348;19;42;0,452380952;8;27;0,296296296;13;21;0,619047619;20;30;5;24;21;2;8;75;12;24;36;15;15;13;1;2;20;20;0;75;;TOTAUX EQUIPE
