Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
1/8 de finale;Coupe de France;Exterieur;Defaite;Lattes Montpellier;Capitaine;Starter;A. Suarez-Utrero;28;12;0,2;28,2;5;7;0,714285714;3;4;0,75;2;3;0,666666667;2;2;1;;;;;;;;14;1;7;8;12;4;2;0;0;3;3;-6;30;1;A. Suarez-Utrero(C)
1/8 de finale;Coupe de France;Exterieur;Defaite;Lattes Montpellier;;Starter;S. Wallace;25;45;0,75;25,75;2;11;0,181818182;2;5;0,4;0;6;0;0;0;;;;;;;;;4;2;1;3;4;2;1;0;0;3;2;-32;1;13;S. Wallace
1/8 de finale;Coupe de France;Exterieur;Defaite;Lattes Montpellier;;Starter;A. Kone;29;2;0,03;29,03;7;9;0,777777778;7;9;0,777777778;0;0;;2;3;0,666666667;;;;;;;;16;4;6;10;1;1;0;1;0;2;3;-19;24;18;A. Kone
1/8 de finale;Coupe de France;Exterieur;Defaite;Lattes Montpellier;;Starter;T. Clarke;27;9;0,15;27,15;6;9;0,666666667;6;9;0,666666667;0;0;;4;5;0,8;;;;;;;;16;2;4;6;1;2;1;0;0;2;3;-1;18;34;T. Clarke
1/8 de finale;Coupe de France;Exterieur;Defaite;Lattes Montpellier;;Starter;V. Gomis;29;11;0,18;29,18;4;10;0,4;2;6;0,333333333;2;4;0,5;4;4;1;;;;;;;;14;0;0;0;2;2;1;0;1;1;3;-9;9;75;V. Gomis
1/8 de finale;Coupe de France;Exterieur;Defaite;Lattes Montpellier;;Banc;C. Savoy;4;59;0,98;4,98;0;1;0;0;0;;0;1;0;0;0;;;;;;;;;0;0;1;1;0;0;0;0;0;1;0;1;0;4;C. Savoy
1/8 de finale;Coupe de France;Exterieur;Defaite;Lattes Montpellier;;Banc;N. Zonzon;12;45;0,75;12,75;1;4;0,25;1;3;0,333333333;0;1;0;0;0;;;;;;;;;2;0;0;0;0;0;0;0;0;3;0;-1;-1;9;N. Zonzon
1/8 de finale;Coupe de France;Exterieur;Defaite;Lattes Montpellier;;Banc;J. Adams;19;9;0,15;19,15;1;7;0,142857143;1;4;0,25;0;3;0;4;4;1;;;;;;;;6;0;2;2;2;0;2;0;1;3;3;8;6;24;J. Adams
1/8 de finale;Coupe de France;Exterieur;Defaite;Lattes Montpellier;;Banc;S. Ousfar;23;49;0,82;23,82;3;7;0,428571429;1;1;1;2;6;0,333333333;0;0;;;;;;;;;8;0;6;6;4;2;0;3;0;2;1;-6;15;28;S. Ousfar
1/8 de finale;Coupe de France;Exterieur;Defaite;Lattes Montpellier;;Banc;TOTAUX EQUIPE;;;;;29;65;0,446153846;23;41;0,56097561;6;24;0,25;16;18;0,888888889;14;36;8;17;16;7;14;80;10;29;39;26;14;7;4;2;20;18;0;104;;TOTAUX EQUIPE
1;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;Capitaine;Starter;A. Suarez-Utrero;36;14;0,23;36,23;3;11;0,272727273;1;6;0,166666667;2;5;0,4;3;3;1;;;;;;;;11;0;3;3;8;2;2;0;1;1;5;7;14;1;A. Suarez-Utrero(C)
1;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;;Starter;A. Kone;27;56;0,93;27,93;8;13;0,615384615;7;11;0,636363636;1;2;0,5;3;3;1;;;;;;;;20;2;0;2;1;3;1;0;0;4;4;1;16;18;A. Kone
1;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;;Starter;J. Adams;35;43;0,72;35,72;2;9;0,222222222;0;5;0;2;4;0,5;0;0;;;;;;;;;6;1;7;8;2;7;3;1;0;2;0;4;6;24;J. Adams
1;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;;Starter;L. Preneau;27;44;0,73;27,73;0;7;0;0;4;0;0;3;0;2;2;1;;;;;;;;2;1;3;4;4;3;2;0;1;3;2;2;2;27;L. Preneau
1;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;;Starter;T. Clark;33;46;0,77;33,77;7;16;0,4375;7;16;0,4375;0;0;;3;7;0,428571429;;;;;;;;17;8;5;13;2;1;5;1;0;1;5;12;24;34;T. Clark
1;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;;Banc;N. Zonzon;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;9;N. Zonzon
1;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;;Banc;S. Wallace;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;13;S. Wallace
1;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;;Banc;S. Ousfar;18;18;0,3;18,3;3;6;0,5;2;4;0,5;1;2;0,5;0;0;;;;;;;;;7;3;3;6;2;0;1;0;0;3;0;3;13;28;S. Ousfar
1;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;;Banc;V. Gomis;20;19;0,32;20,32;1;4;0,25;0;1;0;1;3;0,333333333;0;0;;;;;;;;;3;1;1;2;1;3;1;0;1;2;1;11;1;75;V. Gomis
1;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;;Banc;TOTAUX EQUIPE;;;;;24;66;0,363636364;17;47;0,361702128;7;19;0,368421053;11;15;0,733333333;24;32;17;7;10;11;10;66;17;26;43;20;19;15;2;3;16;17;0;81;;TOTAUX EQUIPE
2;Championat de France;Exterieur;Defaite;Basket Landes;Capitaine;Starter;A. Suarez Utrero;30;8;0,13;30,13;2;7;0,285714286;1;4;0,25;1;3;0,333333333;0;0;;;;;;;;;5;0;0;0;5;5;1;0;0;2;0;-34;1;1;A. Suarez Utrero(C)
