Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
1/16 de finale;Coupe de France;Exterieur;Victoire;Reims Champagne Basket;;Starter;I. Slonjsak;20;54;0,9;20,9;4;7;0,571428571;2;3;0,666666667;2;4;0,5;4;4;1;;;;;;;;14;0;3;3;5;1;0;0;0;2;4;4;18;6;I. Slonjsak
1/16 de finale;Coupe de France;Exterieur;Victoire;Reims Champagne Basket;;Starter;M. Grays;31;34;0,57;31,57;4;13;0,307692308;2;7;0,285714286;2;6;0,333333333;3;4;0,75;;;;;;;;13;0;9;9;5;3;0;0;0;2;4;17;14;15;M. Grays
1/16 de finale;Coupe de France;Exterieur;Victoire;Reims Champagne Basket;Capitaine;Starter;P. Lithard;21;17;0,28;21,28;4;8;0,5;1;3;0,333333333;3;5;0,6;0;0;;;;;;;;;11;2;0;2;5;1;0;0;0;2;1;7;13;19;P. Lithard(C)
1/16 de finale;Coupe de France;Exterieur;Victoire;Reims Champagne Basket;;Starter;E. Tahane;23;23;0,38;23,38;2;6;0,333333333;2;6;0,333333333;0;0;;0;0;;;;;;;;;4;0;4;4;0;2;0;0;1;2;3;22;2;31;E. Tahane
1/16 de finale;Coupe de France;Exterieur;Victoire;Reims Champagne Basket;;Starter;S. Greene;21;59;0,98;21,98;3;10;0,3;3;10;0,3;0;0;;5;5;1;;;;;;;;11;4;5;9;0;0;1;2;2;0;4;19;16;54;S. Greene
1/16 de finale;Coupe de France;Exterieur;Victoire;Reims Champagne Basket;;Banc;E. Moïse;8;33;0,55;8,55;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;1;1;0;0;3;0;9;0;5;E. Moïse
1/16 de finale;Coupe de France;Exterieur;Victoire;Reims Champagne Basket;;Banc;D. Gomis;7;25;0,42;7,42;1;1;1;1;1;1;0;0;;0;0;;;;;;;;;2;0;0;0;1;1;0;0;0;0;0;0;2;7;D. Gomis
1/16 de finale;Coupe de France;Exterieur;Victoire;Reims Champagne Basket;;Banc;M. Stervinou;27;4;0,07;27,07;8;15;0,533333333;2;6;0,333333333;6;9;0,666666667;1;2;0,5;;;;;;;;23;1;4;5;2;0;0;0;0;1;1;9;22;10;M. Stervinou
1/16 de finale;Coupe de France;Exterieur;Victoire;Reims Champagne Basket;;Banc;J. Dean;21;15;0,25;21,25;1;7;0,142857143;0;3;0;1;4;0,25;2;2;1;;;;;;;;5;0;3;3;6;0;2;0;0;3;1;14;10;24;J. Dean
1/16 de finale;Coupe de France;Exterieur;Victoire;Reims Champagne Basket;;Banc;H. Diakite;16;36;0,6;16,6;0;2;0;0;2;0;0;0;;0;0;;;;;;;;;0;3;2;5;0;2;1;0;0;1;0;9;2;78;H. Diakite
1/16 de finale;Coupe de France;Exterieur;Victoire;Reims Champagne Basket;;Banc;TOTAUX EQUIPE;;;;;27;69;0,391304348;13;41;0,317073171;14;28;0,5;15;17;0,882352941;16;24;15;8;30;22;12;83;13;31;44;24;12;5;2;3;16;18;0;102;;TOTAUX EQUIPE
1/8 de finale;Coupe de France;Exterieur;Victoire;Angers;;Starter;A. Morris;27;35;0,58;27,58;4;16;0,25;3;9;0,333333333;1;7;0,142857143;2;3;0,666666667;;;;;;;;11;0;2;2;3;2;0;0;0;2;2;0;1;3;A. Morris
1/8 de finale;Coupe de France;Exterieur;Victoire;Angers;;Starter;I. Slonjsak;18;22;0,37;18,37;3;10;0,3;2;4;0,5;1;6;0,166666667;1;1;1;;;;;;;;8;1;4;5;2;3;2;0;2;5;3;10;7;6;I. Slonjsak
1/8 de finale;Coupe de France;Exterieur;Victoire;Angers;;Starter;E. Tahane;29;9;0,15;29,15;4;6;0,666666667;4;6;0,666666667;0;0;;1;1;1;;;;;;;;9;3;2;5;1;0;1;1;0;2;2;7;15;31;E. Tahane
