Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
1/16 de finale;Coupe de France;Exterieur;Victoire;Toulouse;;Starter;C. Leite;27;33;0,55;27,55;5;8;0,625;3;4;0,75;2;4;0,5;7;7;1;;;;;;;;19;0;0;0;3;1;1;0;0;3;6;23;19;0;C. Leite
1/16 de finale;Coupe de France;Exterieur;Victoire;Toulouse;;Starter;M. Foppossi;36;21;0,35;36,35;5;12;0,416666667;2;4;0,5;3;8;0,375;0;0;;;;;;;;;13;1;6;7;3;0;1;0;0;1;0;20;17;2;M. Foppossi
1/16 de finale;Coupe de France;Exterieur;Victoire;Toulouse;;Starter;N. Fora;30;58;0,97;30,97;0;3;0;0;1;0;0;2;0;4;4;1;;;;;;;;4;1;6;7;6;3;2;0;1;2;2;19;13;3;N. Fora
1/16 de finale;Coupe de France;Exterieur;Victoire;Toulouse;;Starter;C. Droguet;29;30;0,5;29,5;2;8;0,25;1;5;0,2;1;3;0,333333333;1;2;0,5;;;;;;;;6;2;4;6;3;3;1;0;1;2;1;23;6;7;C. Droguet
1/16 de finale;Coupe de France;Exterieur;Victoire;Toulouse;;Starter;D. Malonga;32;35;0,58;32,58;11;16;0,6875;11;16;0,6875;0;0;;2;3;0,666666667;;;;;;;;24;4;9;13;2;3;1;0;0;3;3;16;31;14;D. Malonga
1/16 de finale;Coupe de France;Exterieur;Victoire;Toulouse;Capitaine;Banc;I. Yacoubou;19;18;0,3;19,3;5;9;0,555555556;5;9;0,555555556;0;0;;2;3;0,666666667;;;;;;;;12;2;2;4;2;2;1;0;1;1;2;18;12;4;I. Yacoubou(C)
1/16 de finale;Coupe de France;Exterieur;Victoire;Toulouse;;Banc;L. Monasse;17;5;0,08;17,08;1;5;0,2;0;2;0;1;3;0,333333333;0;0;;;;;;;;;3;2;0;2;4;1;1;0;0;2;0;11;5;9;L. Monasse
1/16 de finale;Coupe de France;Exterieur;Victoire;Toulouse;;Banc;R. Tomasicka;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;24;R. Tomasicka
1/16 de finale;Coupe de France;Exterieur;Victoire;Toulouse;;Banc;L. Dorleans;2;16;0,27;2,27;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;-5;0;76;L. Dorleans
1/16 de finale;Coupe de France;Exterieur;Victoire;Toulouse;;Banc;Z. Velleyen;4;24;0,4;4,4;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;1;0;1;0;1;0;0;0;1;0;-5;0;83;Z. Velleyen
